price_czk,district,size_m2,room_count,has_separate_kitchen,floor_number,total_floors,building_type,condition,ownership,furnished,elevator,has_balcony,has_terrace,has_cellar,has_parking
50500,Praha 2,84,4,False,1,,Smíšená,Po rekonstrukci,Osobní,Yes,Yes,False,False,False,False
45000,Praha 5,114,1,False,5,,Skeletová,Velmi dobrý,Osobní,Partially,Yes,False,False,False,False
44000,Praha 2,111,3,False,3,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,True,False,False,False
26000,Praha 5,90,3,True,2,,Cihlová,Po rekonstrukci,Osobní,Unknown,Unknown,False,True,False,False
41000,Praha 6,104,4,True,3,,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,False,False,False,False
38000,Praha 2,78,3,False,2,,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,False,False,True,False
18810,Praha 4,39,2,False,11,18.0,Panelová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
22000,Praha 4,55,3,True,2,5.0,Cihlová,Po rekonstrukci,Osobní,Unknown,No,False,False,False,False
44000,Praha 2,96,4,True,5,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,True,False,False,False
43632,Praha 2,109,3,False,2,5.0,Smíšená,Velmi dobrý,Osobní,Yes,Yes,False,False,False,True
26000,Praha 2,48,2,False,2,6.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
32500,Praha 2,87,4,True,4,,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,False,False
25000,Praha 6,80,4,True,1,5.0,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,True,False
79000,Praha 8,106,4,False,3,,Cihlová,Po rekonstrukci,Osobní,Yes,Yes,False,False,False,False
17000,Praha 6,33,1,False,5,6.0,Cihlová,Novostavba,Osobní,Unknown,Unknown,False,False,False,False
24000,Praha 8,70,3,False,2,5.0,Cihlová,Po rekonstrukci,Družstevní,Yes,Unknown,False,False,False,False
16500,Praha 3,48,2,False,5,5.0,Cihlová,Velmi dobrý,Osobní,No,Unknown,True,False,False,False
33000,Praha 10,71,3,False,4,9.0,Smíšená,Velmi dobrý,Osobní,Unknown,Yes,False,False,True,False
30000,Praha 3,66,2,False,4,6.0,Cihlová,Po rekonstrukci,Osobní,Yes,Yes,False,False,False,False
39500,Praha 6,97,5,True,3,,Panelová,Velmi dobrý,Osobní,No,Yes,True,False,False,True
19000,Praha 5,44,2,False,2,,Panelová,Po rekonstrukci,Osobní,Yes,Yes,False,False,False,False
15900,Praha 9,50,1,False,2,6.0,Cihlová,Novostavba,Osobní,No,Yes,True,False,False,False
29500,Praha 9,78,4,True,2,,Smíšená,Velmi dobrý,Osobní,Unknown,Unknown,False,False,True,False
20000,Praha 8,47,2,False,9,15.0,Cihlová,Velmi dobrý,Osobní,Unknown,Yes,False,False,False,False
30000,Praha 6,60,2,False,2,,Cihlová,Novostavba,Osobní,Yes,Yes,True,False,True,False
50000,Praha 6,110,3,False,6,8.0,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,True,True,True,True
18708,Praha 6,59,3,True,1,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,True,False
23000,Praha 9,46,1,False,2,,Cihlová,Novostavba,Osobní,Yes,Yes,False,False,False,True
23000,Praha 5,53,2,False,4,6.0,Cihlová,Novostavba,Osobní,Partially,Yes,False,False,True,False
21000,Praha 2,44,2,False,1,,Smíšená,Po rekonstrukci,Osobní,Yes,Yes,False,False,True,False
25000,Praha 4,53,3,True,3,4.0,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,True,False
27000,Praha 5,50,2,False,4,,Smíšená,Velmi dobrý,Osobní,Yes,Yes,True,False,False,True
25500,Praha 2,56,2,False,4,6.0,Cihlová,Velmi dobrý,Osobní,Unknown,Yes,False,False,False,False
18900,Praha 9,30,1,False,4,9.0,Smíšená,Novostavba,Osobní,Unknown,Unknown,False,False,False,True
20000,Praha 4,65,3,True,4,9.0,Panelová,Velmi dobrý,Družstevní,Unknown,Yes,False,False,True,False
16000,Praha 4,35,1,False,1,5.0,Cihlová,Novostavba,Osobní,Unknown,Yes,False,True,False,False
36400,Praha 1,114,3,False,4,4.0,Cihlová,Velmi dobrý,Družstevní,Yes,Yes,False,False,False,False
25000,Praha 5,46,2,False,4,,Cihlová,Dobrý,Osobní,Yes,No,False,False,False,True
25000,Praha 5,46,2,False,4,,Cihlová,Dobrý,Osobní,Yes,No,False,False,False,True
13000,Praha 5,25,2,True,1,,Montovaná,Velmi dobrý,Osobní,Yes,No,False,False,False,False
14500,Praha 2,28,1,False,1,,Cihlová,Po rekonstrukci,Osobní,Unknown,No,False,False,False,False
20000,Praha 5,30,2,True,1,,Cihlová,Dobrý,Osobní,Yes,No,False,True,False,False
18700,Praha 4,40,2,False,2,5.0,Smíšená,Velmi dobrý,Osobní,Partially,Yes,False,False,False,False
26000,Praha 3,70,3,True,2,6.0,Cihlová,Po rekonstrukci,Osobní,Unknown,Unknown,False,False,False,False
26000,Praha 10,40,2,False,5,6.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,True,False,False,False
20000,Praha 6,54,3,True,7,,Panelová,Po rekonstrukci,Osobní,Unknown,Unknown,False,False,True,False
28000,Praha 9,70,4,True,2,4.0,Panelová,Dobrý,Osobní,Partially,Unknown,True,False,False,False
18000,Praha 8,45,2,False,1,,Cihlová,Velmi dobrý,Osobní,Partially,No,False,True,False,False
38000,Praha 2,86,4,True,4,,Cihlová,Po rekonstrukci,Osobní,Unknown,Yes,False,False,False,False
23000,Praha 1,30,1,False,2,,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,False,False
22000,Praha 3,38,1,False,5,,Smíšená,Novostavba,Osobní,Unknown,Unknown,False,True,False,True
13900,Praha 8,22,1,False,5,11.0,Panelová,Velmi dobrý,Osobní,Partially,Yes,True,False,False,False
55000,Praha 5,80,3,False,5,,Cihlová,Novostavba,Osobní,Yes,Yes,True,False,True,True
15990,Praha 2,20,1,False,1,5.0,Cihlová,Novostavba,Osobní,Partially,Yes,False,False,True,False
22000,Praha 5,58,2,False,2,3.0,Smíšená,Velmi dobrý,Osobní,Partially,Yes,True,False,True,False
25000,Praha 4,83,4,False,8,9.0,Panelová,Dobrý,Osobní,Unknown,Yes,False,False,True,False
19500,Praha 5,36,2,True,0,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
22500,Praha 6,53,3,True,3,8.0,Panelová,Velmi dobrý,Osobní,No,Yes,False,False,True,False
75000,Praha 1,221,5,True,3,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,True,False,False
65000,Praha 6,137,4,True,1,,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,True,False,False,True
130000,Praha 2,260,5,False,5,,Cihlová,Dobrý,Osobní,Yes,Yes,True,True,False,False
125000,Praha 5,286,5,False,5,,Cihlová,Velmi dobrý,Osobní,No,Yes,False,True,False,False
62000,Praha 1,140,3,False,4,,Cihlová,Velmi dobrý,Osobní,No,Unknown,True,False,False,False
105000,Praha 6,300,6,True,1,,Cihlová,Dobrý,Osobní,No,Unknown,False,True,False,False
27500,Praha 6,53,1,False,2,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
39000,Praha 1,73,3,False,2,,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,False,False
49443,Praha 3,160,2,False,5,,Cihlová,Velmi dobrý,Osobní,No,Yes,False,True,False,False
79000,Praha 1,170,5,True,2,,Cihlová,Dobrý,Osobní,Partially,Unknown,False,True,False,False
38000,Praha 4,67,2,False,3,,Cihlová,Dobrý,Osobní,Yes,Yes,False,False,True,False
70000,Praha 5,181,5,True,3,,Cihlová,Velmi dobrý,Osobní,No,Unknown,True,False,False,False
44000,Praha 2,96,3,False,5,,Cihlová,Dobrý,Osobní,Yes,Unknown,True,False,False,False
50000,Praha 6,100,3,False,6,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,True,True,False
100000,Praha 1,189,6,True,2,,Cihlová,Dobrý,Osobní,No,Unknown,False,True,True,False
68000,Praha 2,172,4,False,0,,Cihlová,Velmi dobrý,Osobní,No,Unknown,False,True,False,False
55000,Praha 6,100,3,False,2,,Cihlová,Velmi dobrý,Osobní,No,Yes,False,True,False,False
55000,Praha 6,106,4,False,2,,Cihlová,Velmi dobrý,Osobní,No,Yes,True,True,True,False
63154,Praha 1,135,3,False,5,,Cihlová,Dobrý,Osobní,Yes,Yes,False,False,False,False
90000,Praha 1,179,4,False,2,,Cihlová,Velmi dobrý,Osobní,No,Unknown,False,True,False,False
89188,Praha 3,137,3,False,3,,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,False,False
124800,Praha 3,163,4,False,4,,Cihlová,Velmi dobrý,Osobní,No,Yes,True,False,False,False
57000,Praha 4,200,5,True,0,,Cihlová,Velmi dobrý,Osobní,No,Unknown,False,True,False,False
110000,Praha 4,141,4,False,11,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,True,False,False
29669,Praha 1,71,3,True,3,,Cihlová,Dobrý,Osobní,Yes,Yes,False,False,False,False
23490,Praha 7,33,2,True,2,4.0,Cihlová,Velmi dobrý,Osobní,Partially,Yes,True,False,False,False
43632,Praha 2,109,3,False,2,5.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,True
25000,Praha 7,35,1,False,4,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
46056,Praha 2,96,3,False,2,6.0,Smíšená,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
38784,Praha 1,79,3,False,5,6.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
38784,Praha 1,77,3,False,3,6.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
53328,Praha 1,120,4,False,2,6.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
25000,Praha 5,61,2,False,6,7.0,Smíšená,Velmi dobrý,Družstevní,Partially,Yes,False,True,False,True
32000,Praha 2,87,2,False,2,6.0,Cihlová,Velmi dobrý,Osobní,Partially,Yes,True,False,False,True
125000,Praha 5,286,6,True,6,6.0,Cihlová,Velmi dobrý,Osobní,No,Yes,True,True,True,True
133320,Praha 2,171,6,True,5,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,True,False,False,True
18000,Praha 8,45,2,False,3,4.0,Panelová,Po rekonstrukci,Osobní,Partially,Unknown,False,False,True,False
21300,Praha 3,48,2,False,5,6.0,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,False,False
18000,Praha 3,40,1,False,3,,Cihlová,Novostavba,Osobní,Unknown,Yes,False,False,False,False
32000,Praha 9,84,3,False,4,,Smíšená,Novostavba,Družstevní,No,Yes,True,False,True,True
18000,Praha 6,24,1,False,5,6.0,Smíšená,Dobrý,Osobní,Unknown,Unknown,False,False,False,False
30000,Praha 1,69,3,True,2,3.0,Cihlová,Dobrý,Osobní,Yes,Unknown,True,True,False,False
