scrape_date,hash_id,name,locality,district,neighborhood,price_czk,size_m2,rooms,floor,building_type,condition,furnished,elevator,balcony,terrace,energy_rating,ownership,parking,cellar,loggia,heating,apartment_type,note_about_price
2026-02-26,3866452812,Pronájem  pokoje 14 m² (Jednopodlažní),"Na Žertvách, Praha - Libeň",,,12500,14,,2. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,Jednopodlažní,
2026-02-26,1727095628,Pronájem bytu 2+kk 68 m² (Jednopodlažní),"Povltavská, Praha 7 - Troja",Praha 7,Troja,38000,68,2+kk,2. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,1,,,,Jednopodlažní,
2026-02-26,2509726540,Pronájem bytu 2+kk 50 m² (Jednopodlažní),"Limuzská, Praha",,,24700,50,2+kk,3. podlaží,Skeletová,Velmi dobrý,True,True,3,,Třída C - Úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,Jednopodlažní,"Cena nájmu je 24.700,- a zálohy (pro 2 osoby) jsou celkem 3.850,- (1.200,- elektřina, 1.450,- voda a 1.200,- teplo). 

Možnost internetu za 450,-."
2026-02-26,3849675596,Pronájem bytu 2+kk 45 m² (Jednopodlažní),"Plzeňská, Praha 5 - Košíře",Praha 5,Košíře,25000,45,2+kk,4. podlaží z celkem 6,Cihlová,Velmi dobrý,Částečně,True,2,,Třída D - Méně úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,,,,,Jednopodlažní,
2026-02-26,4200948556,Pronájem bytu 3+kk 88 m²,"Provázkova, Praha 4 - Modřany",Praha 4,Modřany,35000,88,3+kk,1. podlaží z celkem 4 včetně 1 podzemního,Cihlová,Novostavba,True,True,,17,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Osobní,True,3,,,,"+ 4.400, Kč (služby a zálohově el. energie)"
2026-02-26,459629388,Pronájem bytu 1+1 38 m²,"Wuchterlova, Praha 6 - Dejvice",Praha 6,Dejvice,21990,38,1+1,1. podlaží z celkem 4 včetně 1 podzemního,Cihlová,Velmi dobrý,True,,,,Třída E - Nehospodárná č. 148/2007 Sb. podle vyhlášky,Osobní,,,,,,
2026-02-26,3680854860,Pronájem bytu 1+kk 37 m²,"Stočesova, Praha 6 - Ruzyně",Praha 6,Ruzyně,19000,37,1+kk,1. podlaží z celkem 6 včetně 1 podzemního,Cihlová,Novostavba,,True,,5,Třída B - Velmi úsporná č. 264/2020 Sb. podle vyhlášky,Družstevní,1,3,,Ústřední plynové,,Poplatky: 3.600 Kč + elektřina převodem na nájemníka
2026-02-26,2137350988,Pronájem bytu 1+kk 22 m²,"Marie Cibulkové, Praha 4 - Nusle",Praha 4,Nusle,15000,22,1+kk,2. podlaží,Cihlová,Velmi dobrý,,,,,,Osobní,,,,,,
2026-02-26,1804624716,Pronájem bytu 1+kk 22 m²,"Lužická, Praha - Vinohrady",,,21000,22,1+kk,1. podlaží,Cihlová,Dobrý,True,,,,Třída D - Méně úsporná,Osobní,,,,,,
2026-02-26,3177538380,Pronájem bytu 4+kk 112 m² (Jednopodlažní),"Litoměřická, Praha",,,45500,112,4+kk,9. podlaží,Smíšená,Novostavba,,,True,,,Osobní,,,True,,Jednopodlažní,
2026-02-26,56976204,Pronájem bytu 2+kk 57 m² (Jednopodlažní),"Bubenečská, Praha 6 - Bubeneč",Praha 6,Bubeneč,18000,57,2+kk,4. podlaží z celkem 6 včetně 5 podzemních,Cihlová,Velmi dobrý,Částečně,True,,,,Osobní,,,,,Jednopodlažní,
2026-02-26,2959434572,Pronájem bytu 4+1 160 m²,"Anny Letenské, Praha 2 - Vinohrady",Praha 2,Vinohrady,62500,160,4+1,3. podlaží z celkem 5,Smíšená,Velmi dobrý,False,True,,,Třída G - Mimořádně nehospodárná,Osobní,,,,,,"+ služby a poplatky, kauce 2 nájmy, provize RK"
